"ID番号","PCD-400A"
"タイトル",""
"試験日時","2021/02/26","18:27:46"
"測定CH数",2
"サンプリング周波数(Hz)",50
"集録データ数/CH",45100
"測定時間(sec)",902
"CH名称"
"レンジ","5kμε","2kμε"
"ハイパスフィルタ","***","***"
"ローパスフィルタ","FLAT","FLAT"
"ローパス(デジタル)","***","***"
"校正係数",2.71,0.2983
"オフセット",0,0
"単位","g","g"
"Time(sec)","CH1","CH2"
8.86,3057.28484756098,102.714948609756
8.88,3054.9218597561,103.444546756098
8.90,3054.82601829268,102.799709463415
8.92,3060.17661585366,102.317845829268
8.94,3058.32753658537,102.689556731707
8.96,3056.96592682927,102.101105414634
8.98,3057.18404878049,102.18535697561
9.00,3056.81390243902,102.50424695122
9.02,3059.57347560976,102.255566609756
9.04,3058.69437804878,102.449679878049
9.06,3055.71998780488,102.833468292683
9.08,3056.65692073171,102.564707268293
9.10,3051.69629878049,102.956426097561
9.12,3056.81390243902,103.22700602439
9.14,3060.27080487805,103.626873536585
9.16,3061.47212804878,104.328824365854
9.18,3058.20360365854,104.346867878049
9.20,3057.55254268293,105.14805802439
9.22,3056.25537804878,105.940226414634
9.24,3059.16697560976,106.656146414634
9.26,3057.69134756098,107.837705439024
9.28,3058.47460365854,107.837487170732
9.30,3057.81528048781,107.665637268293
9.32,3055.54813414634,107.913080756098
9.34,3056.60073780488,107.886233756098
9.36,3058.0862804878,107.412373292683
9.38,3054.76983536585,107.799508487805
9.40,3054.74174390244,107.419939926829
9.42,3056.26859756098,107.248526560976
9.44,3055.10032317073,108.142044195122
9.46,3058.39859146341,108.95138302439
9.48,3054.31706707317,110.203733731707
9.50,3055.92819512195,110.11773602439
9.52,3056.12648780488,110.595743585366
9.54,3055.81252439024,109.513569390244
9.56,3056.57429878049,108.646826
9.58,3052.66297560976,108.735079146341
9.60,3058.04662195122,109.526301707317
9.62,3055.81913414634,109.724853097561
9.64,3057.59054878049,108.721764780488
9.66,3053.95353048781,108.248486365854
9.68,3055.24573780488,108.926791463415
9.70,3057.4153902439,108.334847853659
9.72,3057.10142682927,108.444709560976
9.74,3055.47707926829,108.213345170732
9.76,3056.99236585366,107.330304414634
9.78,3052.61175,106.817228414634
9.80,3055.35149390244,107.071874756098
9.82,3052.90423170732,106.933492658537
9.84,3052.69602439024,106.379018439024
9.86,3057.44513414634,105.255664292683
9.88,3053.0926097561,105.220086560976
9.90,3054.59467682927,105.242277170732
9.92,3053.74367073171,105.600018902439
9.94,3053.35369512195,104.671942121951
9.96,3050.97418292683,104.788133609756
9.98,3052.04661585366,104.891229
10.00,3058.05157926829,104.46225904878
10.02,3056.98079878049,104.450399804878
10.04,3052.4894695122,105.14834904878
10.06,3052.69106707317,105.174614
10.08,3054.61615853659,104.90345202439
10.10,3057.23031707317,103.817712780488
10.12,3054.91855487805,103.900727487805
10.14,3057.17909146341,103.294814707317
10.16,3059.27273170732,103.705086341463
10.18,3059.74532926829,103.959805439024
10.20,3054.58806707317,104.178146487805
10.22,3057.05020121951,104.10429904878
10.24,3057.91607926829,104.720761463415
10.26,3054.16834756098,104.961656902439
10.28,3055.95132926829,105.164864682927
10.30,3056.60073780488,105.096037414634
10.32,3057.10307926829,104.890574195122
10.34,3053.64617682927,105.112844073171
10.36,3056.88165243902,105.020443829268
10.38,3057.94251829268,105.11437195122
10.40,3056.99401829268,104.610608731707
10.42,3057.62029268293,104.701553853659
10.44,3054.51370731707,105.196950121951
10.46,3058.95050609756,105.243659536585
10.48,3057.16091463415,105.991446707317
10.50,3052.72576829268,106.958666268293
10.52,3058.82492073171,106.28399897561
10.54,3055.5795304878,105.838949926829
10.56,3054.5765,105.203279902439
10.58,3054.77148780488,105.221468926829
10.60,3057.03202439024,104.561352853659
10.62,3057.27162804878,104.099933682927
10.64,3053.19506097561,104.093676658537
10.66,3054.13529878049,104.363456268293
10.68,3056.65361585366,103.713962585366
10.70,3057.86981097561,104.12998195122
10.72,3055.22260365854,103.836338341463
10.74,3055.25565243902,104.131437073171
10.76,3053.76184756098,104.618466390244
10.78,3051.68307926829,104.678562926829
